Park,Elevation
Denali,"20,310 feet (6,190 m)"
Wrangell-St. Elias,"18,008 feet (5,489 m)"
Glacier Bay,"15,300 feet (4,700 m)"
Sequoia,"14,505 feet (4,421 m)"
Mount Rainier,"14,411 feet (4,392 m)"
Rocky Mountain,"14,259 feet (4,346 m)"
Kings Canyon,"14,242 feet (4,341 m)"
Grand Teton,"13,770 feet (4,200 m)"
Hawaii Volcanoes,"13,679 feet (4,169 m)"
Great Sand Dunes,"13,610 feet (4,150 m)"
Yosemite,"13,114 feet (3,997 m)"
Great Basin,"13,065 feet (3,982 m)"
Yellowstone,"11,358 feet (3,462 m)"
Death Valley,"11,049 feet (3,368 m)"
Glacier,"10,466 feet (3,190 m)"
Lassen Volcanic,"10,457 feet (3,187 m)"
Lake Clark,"10,197 feet (3,108 m)"
Haleakala,"10,023 feet (3,055 m)"
North Cascades,"9,206 feet (2,806 m)"
Grand Canyon,"9,165 feet (2,793 m)"
Bryce Canyon,"9,115 feet (2,778 m)"
Black Canyon of the Gunnison,"9,040 feet (2,760 m)"
Capitol Reef,"8,960 feet (2,730 m)"
Crater Lake,"8,929 feet (2,722 m)"
Guadalupe Mountains,"8,749 feet (2,667 m)"
Zion,"8,726 feet (2,660 m)"
Saguaro,"8,666 feet (2,641 m)"
Mesa Verde,"8,571 feet (2,612 m)[18]"
Gates of the Arctic,"8,276 feet (2,523 m)"
Olympic,"7,962 feet (2,427 m)"
Big Bend,"7,825 feet (2,385 m)"
Katmai,"7,606 feet (2,318 m)"
Canyonlands,"7,120 feet (2,170 m)"
Great Smoky Mountains,"6,643 feet (2,025 m)"
Carlsbad Caverns,"6,535 feet (1,992 m)"
Kenai Fjords,"6,450 feet (1,970 m)"
Petrified Forest,"6,234 feet (1,900 m)"
Joshua Tree,"5,813 feet (1,772 m)"
Arches,"5,653 feet (1,723 m)"
Wind Cave,"5,013 feet (1,528 m)"
Kobuk Valley,"4,760 feet (1,450 m)"
White Sands,"4,116 feet (1,255 m)"
Shenandoah,"4,051 feet (1,235 m)"
Badlands,"3,340 feet (1,020 m)"
Pinnacles,"3,304 feet (1,007 m) [32]"
New River Gorge,"3,291 feet (1,003 m) [35]"
American Samoa,"3,170 feet (970 m) [37]"
Redwood,"3,170 feet (970 m)"
Theodore Roosevelt,"2,860 feet (870 m)"
Channel Islands,"2,450 feet (750 m)[38]"
Acadia,"1,530 feet (470 m)"
Voyageurs,"1,410 feet (430 m)"
Hot Springs,"1,405 feet (428 m)"
Isle Royale,"1,394 feet (425 m)"
Virgin Islands,"1,277 feet (389 m) [39]"
,
Cuyahoga,"1,164 feet (355 m)[40]"
Mammoth Cave,925 feet (282 m)
Indiana Dunes,900 feet (270 m)
Gateway Arch,470 feet (140 m)
Congaree,140 feet (43 m)
Everglades,20 feet (6.1 m)[45]
Dry Tortugas,10 feet (3.0 m)
Biscayne,9 feet (2.7 m)